step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
23,0,0.7666666666666667,-29.873,0,0,0.001721,-2.828551,2.881208,1.434235,-0.034523,0.254477,-0.011573,-2.807060,2.819873,1.397171,-0.035530,0.259124,-0.011573,-2.807060,2.819873,1.397171,-0.035530,0.259124,-0.011573,-2.807060,2.819873,1.397171,-0.035530,0.259124,-0.368393,-89.351486,89.759354,44.473343,-1.130966,15.242585,-0.368393,-89.351486,89.759354,44.473343,-1.130966,15.242585,1949,1063,3053,2512,2024,2141,,0,,,,1.28,,0.02,0.37,1.52,33.21
24,0,0.8,-29.259,0,0,0.001721,-2.822961,2.881208,1.434235,-0.034523,0.254477,-0.008760,-2.798358,2.811674,1.394017,-0.035910,0.260462,-0.008760,-2.798358,2.811674,1.394017,-0.035910,0.260462,-0.008760,-2.798358,2.811674,1.394017,-0.035910,0.260462,-0.278847,-89.074516,89.498383,44.372955,-1.143051,15.321271,-0.278847,-89.074516,89.498383,44.372955,-1.143051,15.321271,1949,1066,3050,2511,2024,2143,,0,,,,1.52,,0.03,0.44,1.75,33.18
25,0,0.8333333333333334,-29.102,0,0,0.001721,-2.811781,2.881208,1.434235,-0.034523,0.254477,-0.005122,-2.789807,2.802943,1.389289,-0.036282,0.261096,-0.005122,-2.789807,2.802943,1.389289,-0.036282,0.261096,-0.005122,-2.789807,2.802943,1.389289,-0.036282,0.261096,-0.163033,-88.802322,89.220428,44.222443,-1.154900,15.358565,-0.163033,-88.802322,89.220428,44.222443,-1.154900,15.358565,1951,1069,3047,2509,2023,2143,,0,,,,1.53,,0.03,0.48,1.86,33.19
26,0,0.8666666666666667,-29.752,0,0,0.001721,-2.803396,2.881208,1.434235,-0.034523,0.254477,-0.001966,-2.782665,2.795238,1.384124,-0.036731,0.261158,-0.001966,-2.782665,2.795238,1.384124,-0.036731,0.261158,-0.001966,-2.782665,2.795238,1.384124,-0.036731,0.261158,-0.062569,-88.574982,88.975189,44.058029,-1.169189,15.362263,-0.062569,-88.574982,88.975189,44.058029,-1.169189,15.362263,1951,1072,3044,2507,2023,2143,,0,,,,1.40,,0.02,0.37,1.52,33.20
27,0,0.9,-29.497,0,0,0.001721,-2.795011,2.881208,1.434235,-0.034523,0.254477,-0.000918,-2.777819,2.789577,1.379434,-0.037329,0.260912,-0.000918,-2.777819,2.789577,1.379434,-0.037329,0.260912,-0.000918,-2.777819,2.789577,1.379434,-0.037329,0.260912,-0.029221,-88.420715,88.794998,43.908737,-1.188232,15.347758,-0.029221,-88.420715,88.794998,43.908737,-1.188232,15.347758,1952,1074,3042,2506,2023,2143,,0,,,,1.57,,0.02,0.39,1.56,33.17
28,0,0.9333333333333333,-29.645,0,0,0.001721,-2.786626,2.881208,1.434235,-0.034523,0.254477,-0.002388,-2.775688,2.786550,1.375859,-0.038091,0.260563,-0.002388,-2.775688,2.786550,1.375859,-0.038091,0.260563,-0.002388,-2.775688,2.786550,1.375859,-0.038091,0.260563,-0.076004,-88.352890,88.698654,43.794968,-1.212479,15.327261,-0.076004,-88.352890,88.698654,43.794968,-1.212479,15.327261,1951,1074,3041,2504,2022,2143,,0,,,,1.49,,0.02,0.42,1.49,33.20
29,0,0.9666666666666667,-29.451,0,0,0.001721,-2.781036,2.881208,1.434235,-0.034523,0.254477,-0.005252,-2.776133,2.786243,1.373345,-0.038948,0.260371,-0.005252,-2.776133,2.786243,1.373345,-0.038948,0.260371,-0.005252,-2.776133,2.786243,1.373345,-0.038948,0.260371,-0.167183,-88.367065,88.688873,43.714920,-1.239754,15.315944,-0.167183,-88.367065,88.688873,43.714920,-1.239754,15.315944,1950,1074,3041,2503,2022,2143,,0,,,,1.57,,0.03,0.41,1.56,33.17
30,0,1.0,-29.708,0,0,0.001721,-2.781036,2.881208,1.426000,-0.034523,0.254477,-0.008124,-2.778430,2.788054,1.371054,-0.039820,0.260567,-0.008124,-2.778430,2.788054,1.371054,-0.039820,0.260567,-0.008124,-2.778430,2.788054,1.371054,-0.039820,0.260567,-0.258598,-88.440170,88.746521,43.641998,-1.267509,15.327454,-0.258598,-88.440170,88.746521,43.641998,-1.267509,15.327454,1950,1073,3042,2502,2021,2143,,0,,,,1.30,,0.02,0.44,1.57,33.20
31,0,1.0333333333333334,-29.403,0,0,0.001721,-2.781036,2.881208,1.415021,-0.034523,0.254477,-0.010511,-2.782252,2.791381,1.368557,-0.040625,0.261122,-0.010511,-2.782252,2.791381,1.368557,-0.040625,0.261122,-0.010511,-2.782252,2.791381,1.368557,-0.040625,0.261122,-0.334572,-88.561836,88.852402,43.562531,-1.293144,15.360146,-0.334572,-88.561836,88.852402,43.562531,-1.293144,15.360146,1949,1072,3043,2502,2021,2143,,0,,,,1.58,,0.03,0.40,1.61,33.22
32,0,1.0666666666666667,-29.053,0,0,0.001721,-2.781036,2.881208,1.409531,-0.034523,0.254477,-0.012728,-2.787790,2.796350,1.366492,-0.041355,0.261843,-0.012728,-2.787790,2.796350,1.366492,-0.041355,0.261843,-0.012728,-2.787790,2.796350,1.366492,-0.041355,0.261843,-0.405151,-88.738113,89.010590,43.496780,-1.316368,15.402502,-0.405151,-88.738113,89.010590,43.496780,-1.316368,15.402502,1948,1070,3045,2501,2020,2144,,0,,,,1.68,,0.03,0.40,1.87,33.19
